Accuracy,BrierScoreBinary,BrierScoreProba,ClassificationReport,F1-Macro,F1-Micro,F1-Weighted,Precision-Macro,Precision-Micro,Precision-Weighted,Recall-Macro,Recall-Micro,Recall-Weighted
0.9844961240310077,0.015503875968992248,0.13209468244571548,"              precision    recall  f1-score   support

           0       0.98      1.00      0.99       102
           1       1.00      0.93      0.96        27

    accuracy                           0.98       129
   macro avg       0.99      0.96      0.98       129
weighted avg       0.98      0.98      0.98       129
",0.9759148618371918,0.9844961240310077,0.9842732341038957,0.9903846153846154,0.9844961240310077,0.9847942754919499,0.962962962962963,0.9844961240310077,0.9844961240310077
0.9689922480620154,0.031007751937984496,0.13753259858803035,"              precision    recall  f1-score   support

           0       0.97      0.99      0.98       102
           1       0.96      0.89      0.92        27

    accuracy                           0.97       129
   macro avg       0.97      0.94      0.95       129
weighted avg       0.97      0.97      0.97       129
",0.9518297236743838,0.9689922480620154,0.9685464682077913,0.9655769230769231,0.9689922480620154,0.9688193202146691,0.9395424836601307,0.9689922480620154,0.9689922480620154
0.9767441860465116,0.023255813953488372,0.1307667831334689,"              precision    recall  f1-score   support

           0       0.98      0.99      0.99       102
           1       0.96      0.93      0.94        27

    accuracy                           0.98       129
   macro avg       0.97      0.96      0.96       129
weighted avg       0.98      0.98      0.98       129
",0.9643810400368156,0.9767441860465116,0.9765815130726999,0.9710604929051532,0.9767441860465116,0.9765965576532297,0.9580610021786493,0.9767441860465116,0.9767441860465116
0.96875,0.03125,0.1267707291806652,"              precision    recall  f1-score   support

           0       0.98      0.98      0.98       101
           1       0.93      0.93      0.93        27

    accuracy                           0.97       128
   macro avg       0.95      0.95      0.95       128
weighted avg       0.97      0.97      0.97       128
",0.9530619728639531,0.96875,0.96875,0.9530619728639531,0.96875,0.96875,0.9530619728639531,0.96875,0.96875
0.937007874015748,0.06299212598425197,0.1658530459311193,"              precision    recall  f1-score   support

           0       0.96      0.96      0.96       101
           1       0.85      0.85      0.85        26

    accuracy                           0.94       127
   macro avg       0.90      0.90      0.90       127
weighted avg       0.94      0.94      0.94       127
",0.9032749428789033,0.9370078740157481,0.937007874015748,0.9032749428789033,0.937007874015748,0.937007874015748,0.9032749428789033,0.937007874015748,0.937007874015748
0.9448818897637795,0.05511811023622047,0.15433915470500137,"              precision    recall  f1-score   support

           0       0.98      0.95      0.96       101
           1       0.83      0.92      0.87        26

    accuracy                           0.94       127
   macro avg       0.90      0.94      0.92       127
weighted avg       0.95      0.94      0.95       127
",0.9187756966651439,0.9448818897637795,0.9459696478095561,0.9035890218156228,0.9448818897637795,0.9484725739331845,0.9367859862909368,0.9448818897637795,0.9448818897637795
0.9606299212598425,0.03937007874015748,0.1321269312009859,"              precision    recall  f1-score   support

           0       0.99      0.96      0.97       101
           1       0.86      0.96      0.91        26

    accuracy                           0.96       127
   macro avg       0.93      0.96      0.94       127
weighted avg       0.96      0.96      0.96       127
",0.9419826404751027,0.9606299212598425,0.96140689129254,0.9259324419422941,0.9606299212598425,0.9636470933744118,0.960967250571211,0.9606299212598425,0.9606299212598425
0.9606299212598425,0.03937007874015748,0.14089358768781035,"              precision    recall  f1-score   support

           0       0.98      0.97      0.98       101
           1       0.89      0.92      0.91        26

    accuracy                           0.96       127
   macro avg       0.93      0.95      0.94       127
weighted avg       0.96      0.96      0.96       127
",0.9403923777339717,0.9606299212598425,0.9609034015777598,0.9344444444444444,0.9606299212598425,0.9613473315835521,0.9466869763899467,0.9606299212598425,0.9606299212598425
0.952755905511811,0.047244094488188976,0.14400643833372928,"              precision    recall  f1-score   support

           0       0.99      0.95      0.97       101
           1       0.83      0.96      0.89        26

    accuracy                           0.95       127
   macro avg       0.91      0.96      0.93       127
weighted avg       0.96      0.95      0.95       127
",0.9312770562770563,0.952755905511811,0.9539659815250366,0.911512027491409,0.952755905511811,0.9576805476635009,0.9560167555217061,0.952755905511811,0.952755905511811
0.9448818897637795,0.05511811023622047,0.14567005799847577,"              precision    recall  f1-score   support

           0       0.96      0.97      0.97       101
           1       0.88      0.85      0.86        26

    accuracy                           0.94       127
   macro avg       0.92      0.91      0.91       127
weighted avg       0.94      0.94      0.94       127
",0.9141311697092629,0.9448818897637795,0.9444772750262199,0.9203921568627451,0.9448818897637795,0.9442457928053111,0.9082254379284083,0.9448818897637795,0.9448818897637795
